learner_record_id,region,department,role_family,experience_band,training_mode,prior_python_score,course_minutes,manager_support_score,support_tickets_last_30d,engagement_score,completion_days,assessment_score,satisfaction_score,productivity_gain_estimate_pct,completed_training
EDA-0425,Wales,Operations,Manager,6-10 years,Self-paced,64.4,263.0,4,0,94.3,6.0,81.1,5.0,12.3,1
EDA-0426,North West,Customer Support,Manager,3-5 years,Instructor-led,52.9,262.0,3,0,70.1,6.0,75.0,5.0,13.8,1
EDA-0427,Wales,Sales,Manager,3-5 years,Blended,44.9,295.0,4,0,89.9,25.0,83.6,5.0,12.8,1
EDA-0428,South East,Finance,Analyst,6-10 years,Blended,66.3,318.0,2,2,57.6,12.0,94.4,3.1,7.7,0
EDA-0429,South East,Customer Support,Administrator,0-2 years,Self-paced,59.1,280.0,2,2,41.3,19.0,69.3,3.3,4.1,0
EDA-0430,Wales,Customer Support,Manager,0-2 years,Self-paced,71.3,315.0,2,0,74.6,21.0,77.5,3.8,13.8,1
EDA-0431,Yorkshire,Customer Support,Developer,0-2 years,Instructor-led,14.1,417.0,3,4,61.2,18.0,42.7,3.9,2.6,0
EDA-0432,London,HR,Developer,6-10 years,Instructor-led,30.4,413.0,1,3,53.6,23.0,72.7,3.1,9.4,1
EDA-0433,Wales,Customer Support,Analyst,6-10 years,Blended,39.8,432.0,3,0,83.1,34.0,82.3,3.5,10.2,0
EDA-0434,London,Finance,Developer,10+ years,Self-paced,43.6,207.0,2,3,69.1,29.0,54.5,4.6,11.2,1
EDA-0435,South East,Sales,Administrator,10+ years,Blended,66.6,488.0,3,2,91.3,19.0,85.9,4.3,12.7,1
EDA-0436,London,HR,Manager,3-5 years,Blended,61.4,321.0,5,1,89.0,16.0,100.0,5.0,16.2,1
EDA-0437,North West,IT,Advisor,6-10 years,Self-paced,30.4,358.0,3,1,69.7,24.0,69.7,4.6,10.8,0
EDA-0438,West Midlands,HR,Developer,6-10 years,Instructor-led,69.8,409.0,4,0,89.8,27.0,96.3,5.0,11.6,1
EDA-0439,West Midlands,Operations,Analyst,6-10 years,Blended,71.0,356.0,2,2,59.7,27.0,65.9,4.7,8.1,1
EDA-0440,West Midlands,Product,Coordinator,3-5 years,Self-paced,45.7,369.0,5,2,76.0,22.0,74.4,5.0,12.4,1
EDA-0441,South East,Customer Support,Advisor,3-5 years,Blended,27.2,446.0,5,1,100.0,6.0,66.0,5.0,9.8,1
EDA-0442,Yorkshire,IT,Coordinator,3-5 years,Self-paced,46.3,249.0,2,0,73.8,22.0,85.0,5.0,13.6,1
EDA-0443,North West,Customer Support,Coordinator,6-10 years,Self-paced,55.0,406.0,3,0,94.5,24.0,84.2,5.0,14.0,1
EDA-0444,Scotland,Customer Support,Manager,3-5 years,Blended,57.7,353.0,5,0,83.0,24.0,100.0,5.0,17.4,1
EDA-0445,Scotland,Operations,Coordinator,6-10 years,Blended,44.0,431.0,5,1,100.0,15.0,85.9,5.0,16.8,1
EDA-0446,North West,Sales,Coordinator,6-10 years,Blended,64.5,343.0,3,0,74.1,16.0,92.6,4.7,9.5,0
EDA-0447,West Midlands,Operations,Advisor,0-2 years,Blended,83.7,409.0,3,1,78.6,22.0,98.2,4.5,16.7,1
EDA-0448,Scotland,IT,Advisor,6-10 years,Self-paced,57.2,270.0,1,1,63.1,31.0,73.6,4.0,12.6,1
EDA-0449,London,IT,Advisor,6-10 years,Instructor-led,66.6,398.0,5,2,91.2,23.0,88.0,4.1,13.8,1
EDA-0450,South East,Finance,Administrator,6-10 years,Instructor-led,51.3,419.0,4,0,82.7,4.0,94.0,4.6,9.1,1
EDA-0451,Wales,Customer Support,Analyst,3-5 years,Instructor-led,57.0,412.0,5,0,78.2,16.0,96.2,4.8,10.5,1
EDA-0452,Yorkshire,HR,Developer,3-5 years,Self-paced,74.4,299.0,3,1,83.3,4.0,83.4,5.0,14.6,1
EDA-0453,Yorkshire,Operations,Manager,3-5 years,Instructor-led,48.8,480.0,4,1,71.4,17.0,77.9,4.0,16.9,1
EDA-0454,London,IT,Coordinator,6-10 years,Blended,39.0,350.0,3,3,74.8,31.0,64.8,4.1,12.8,1
EDA-0455,Yorkshire,Customer Support,Advisor,10+ years,Blended,27.4,337.0,1,2,62.6,15.0,78.1,4.2,9.5,0
EDA-0456,Wales,Product,Manager,3-5 years,Instructor-led,28.0,255.0,4,0,62.4,33.0,79.9,5.0,11.8,1
EDA-0457,Wales,Product,Coordinator,3-5 years,Self-paced,50.5,390.0,3,3,74.3,30.0,71.1,4.0,8.1,0
EDA-0458,Yorkshire,Customer Support,Administrator,6-10 years,Blended,48.8,528.0,4,2,75.7,14.0,83.6,5.0,12.0,1
EDA-0459,London,HR,Developer,0-2 years,Instructor-led,41.9,376.0,2,3,54.2,22.0,86.3,4.3,12.9,1
EDA-0460,North West,HR,Manager,0-2 years,Instructor-led,73.9,403.0,4,1,93.6,10.0,89.8,5.0,10.7,1
EDA-0461,West Midlands,Finance,Advisor,10+ years,Instructor-led,34.4,355.0,5,3,92.0,11.0,78.3,4.4,11.6,1
EDA-0462,Wales,Sales,Analyst,10+ years,Blended,79.9,520.0,5,0,100.0,8.0,90.7,5.0,15.0,1
EDA-0463,London,HR,Manager,3-5 years,Self-paced,59.6,270.0,1,3,40.6,21.0,62.9,3.8,4.7,0
EDA-0464,South East,HR,Advisor,6-10 years,Instructor-led,41.8,400.0,1,3,66.3,27.0,73.9,4.4,9.0,1
EDA-0465,London,Operations,Manager,6-10 years,Self-paced,39.3,280.0,4,0,82.3,14.0,82.8,5.0,8.3,1
EDA-0466,London,Finance,Coordinator,6-10 years,Instructor-led,37.4,354.0,3,2,69.9,30.0,69.2,4.9,12.0,1
EDA-0467,Yorkshire,IT,Manager,3-5 years,Self-paced,41.0,262.0,2,0,85.4,27.0,77.9,5.0,11.0,1
EDA-0468,Scotland,Product,Manager,3-5 years,Self-paced,62.3,397.0,5,0,94.0,5.0,97.6,5.0,13.3,1
EDA-0469,West Midlands,Customer Support,Administrator,3-5 years,Self-paced,75.3,276.0,3,2,65.0,19.0,90.3,4.1,18.0,1
EDA-0470,West Midlands,Customer Support,Advisor,0-2 years,Blended,68.7,494.0,4,0,69.5,14.0,96.9,4.5,12.7,1
EDA-0471,West Midlands,IT,Administrator,3-5 years,Blended,58.9,313.0,4,0,94.9,9.0,78.0,4.4,10.3,1
EDA-0472,Yorkshire,HR,Coordinator,6-10 years,Self-paced,10.5,165.0,4,2,76.6,10.0,78.5,5.0,9.7,1
EDA-0473,Yorkshire,Operations,Analyst,3-5 years,Self-paced,30.5,284.0,3,1,80.9,14.0,73.5,4.5,12.2,1
EDA-0474,North West,IT,Coordinator,10+ years,Self-paced,80.4,322.0,4,0,73.0,15.0,97.9,5.0,10.0,0
EDA-0475,Wales,Product,Developer,3-5 years,Blended,60.4,379.0,5,3,78.7,12.0,88.2,4.3,8.3,0
EDA-0476,Wales,Operations,Analyst,0-2 years,Self-paced,80.4,232.0,5,0,85.5,22.0,85.4,5.0,16.5,1
EDA-0477,Wales,HR,Advisor,3-5 years,Self-paced,65.2,356.0,4,0,79.4,10.0,89.0,4.2,14.5,1
EDA-0478,Wales,IT,Analyst,3-5 years,Blended,26.7,420.0,4,1,100.0,15.0,80.8,5.0,13.8,1
EDA-0479,Scotland,Sales,Advisor,0-2 years,Self-paced,63.5,317.0,4,0,90.9,11.0,94.5,5.0,11.2,1
EDA-0480,Yorkshire,IT,Advisor,0-2 years,Self-paced,68.9,289.0,3,1,63.7,8.0,97.3,4.8,11.6,1
EDA-0481,North West,Sales,Developer,6-10 years,Self-paced,50.2,209.0,1,1,84.0,20.0,89.2,4.7,10.8,1
EDA-0482,North West,Product,Analyst,6-10 years,Instructor-led,80.0,420.0,2,2,83.5,36.0,82.9,4.6,13.9,1
EDA-0483,North West,HR,Analyst,0-2 years,Instructor-led,61.4,357.0,2,0,84.6,3.0,82.2,5.0,9.2,1
EDA-0484,Scotland,Operations,Coordinator,6-10 years,Instructor-led,59.6,261.0,3,1,72.6,8.0,72.1,4.2,11.3,1
EDA-0485,West Midlands,Customer Support,Developer,3-5 years,Blended,65.1,426.0,4,2,85.5,15.0,75.6,4.5,8.3,1
EDA-0486,Wales,Sales,Manager,10+ years,Self-paced,37.2,269.0,1,0,79.5,5.0,77.9,4.3,12.2,1
EDA-0487,Wales,Sales,Developer,3-5 years,Self-paced,43.0,269.0,5,0,86.7,12.0,80.6,5.0,11.4,1
EDA-0488,Yorkshire,IT,Coordinator,0-2 years,Blended,54.3,307.0,4,0,91.6,10.0,80.3,5.0,13.7,1
EDA-0489,Yorkshire,Product,Analyst,10+ years,Self-paced,66.1,267.0,4,1,87.3,19.0,87.0,4.7,14.5,1
EDA-0490,South East,Customer Support,Advisor,3-5 years,Self-paced,75.0,265.0,3,0,77.7,17.0,90.0,4.2,9.3,1
EDA-0491,London,Operations,Analyst,6-10 years,Blended,66.7,441.0,4,2,87.5,19.0,98.7,4.9,12.4,1
EDA-0492,North West,Customer Support,Developer,0-2 years,Self-paced,36.2,378.0,4,0,83.4,29.0,80.8,3.8,13.4,1
EDA-0493,Yorkshire,Product,Advisor,3-5 years,Instructor-led,35.7,369.0,2,3,63.3,24.0,71.4,4.6,11.7,1
EDA-0494,Wales,Sales,Developer,10+ years,Blended,64.0,390.0,2,2,69.8,16.0,71.8,3.8,11.3,0
EDA-0495,Scotland,IT,Administrator,0-2 years,Self-paced,21.2,257.0,2,2,60.3,16.0,76.3,3.3,9.7,1
EDA-0496,Scotland,HR,Analyst,0-2 years,Blended,47.5,451.0,3,1,87.5,23.0,95.9,4.2,8.5,1
EDA-0497,South East,Customer Support,Coordinator,3-5 years,Self-paced,83.5,287.0,2,2,65.0,20.0,84.2,3.4,8.0,0
EDA-0498,Scotland,Finance,Manager,6-10 years,Self-paced,50.5,229.0,1,1,72.2,26.0,80.7,5.0,8.7,1
EDA-0499,Wales,Sales,Advisor,6-10 years,Instructor-led,21.9,334.0,5,1,100.0,19.0,82.2,5.0,10.2,1
EDA-0500,South East,Product,Manager,3-5 years,Blended,8.9,330.0,3,3,74.9,29.0,60.7,3.6,10.3,1
EDA-0501,South East,HR,Administrator,6-10 years,Blended,46.8,436.0,4,1,79.1,16.0,76.8,4.6,8.8,1
EDA-0502,South East,Operations,Coordinator,10+ years,Instructor-led,69.2,342.0,3,2,100.0,14.0,82.0,5.0,11.7,1
EDA-0503,Wales,Operations,Manager,6-10 years,Instructor-led,63.8,433.0,4,0,97.9,21.0,94.0,5.0,16.2,1
EDA-0504,South East,Finance,Developer,0-2 years,Instructor-led,74.1,402.0,5,0,100.0,3.0,88.9,5.0,10.5,1
EDA-0505,West Midlands,Operations,Coordinator,6-10 years,Self-paced,56.5,285.0,4,2,70.8,24.0,87.3,4.9,11.1,1
EDA-0506,West Midlands,Sales,Coordinator,3-5 years,Blended,33.1,427.0,2,1,81.2,14.0,66.9,3.4,9.9,0
EDA-0507,South East,Operations,Advisor,6-10 years,Self-paced,39.7,261.0,4,1,68.9,36.0,94.0,4.7,14.4,1
EDA-0508,West Midlands,Operations,Manager,3-5 years,Blended,60.2,355.0,3,0,78.7,28.0,84.2,4.7,4.4,0
EDA-0509,Scotland,IT,Coordinator,3-5 years,Self-paced,62.6,255.0,4,0,85.3,13.0,85.2,5.0,11.2,1
EDA-0510,West Midlands,Finance,Coordinator,0-2 years,Self-paced,22.3,243.0,4,1,90.4,12.0,66.9,5.0,9.6,1
EDA-0511,Yorkshire,Product,Advisor,10+ years,Instructor-led,56.6,339.0,4,0,86.8,14.0,81.6,5.0,11.9,1
EDA-0512,London,Operations,Developer,10+ years,Instructor-led,69.0,513.0,2,1,53.6,22.0,83.9,4.3,9.7,0
EDA-0513,Scotland,Finance,Advisor,6-10 years,Blended,39.1,445.0,2,2,76.9,20.0,75.1,4.9,6.4,1
EDA-0514,West Midlands,Finance,Manager,10+ years,Self-paced,31.8,329.0,3,0,58.7,17.0,79.4,3.8,10.4,1
EDA-0515,South East,Operations,Administrator,10+ years,Instructor-led,43.2,384.0,2,1,87.9,23.0,83.3,5.0,13.8,1
EDA-0516,North West,HR,Developer,6-10 years,Instructor-led,60.0,371.0,2,1,67.3,11.0,92.3,4.1,10.2,1
EDA-0517,North West,Finance,Coordinator,10+ years,Blended,25.9,410.0,3,0,91.1,22.0,65.7,5.0,9.2,1
EDA-0518,North West,IT,Manager,6-10 years,Blended,64.7,437.0,2,1,90.8,27.0,100.0,4.0,10.8,1
EDA-0519,Scotland,IT,Coordinator,3-5 years,Blended,69.9,382.0,4,1,100.0,11.0,98.1,5.0,17.9,1
EDA-0520,Scotland,IT,Developer,3-5 years,Self-paced,44.5,297.0,4,1,92.4,9.0,75.6,5.0,17.9,1
EDA-0521,West Midlands,Finance,Analyst,0-2 years,Self-paced,51.3,293.0,2,1,54.9,27.0,73.8,4.6,5.3,1
EDA-0522,West Midlands,Customer Support,Coordinator,3-5 years,Blended,61.0,509.0,3,2,66.6,15.0,86.4,4.1,6.5,0
EDA-0523,Scotland,Finance,Analyst,3-5 years,Self-paced,64.9,324.0,3,2,82.7,9.0,78.4,4.3,10.2,1
EDA-0524,Yorkshire,Customer Support,Coordinator,3-5 years,Self-paced,78.0,354.0,3,1,81.7,25.0,96.0,5.0,14.6,1
EDA-0525,Wales,HR,Manager,3-5 years,Blended,67.8,523.0,4,1,81.4,17.0,90.9,4.5,12.2,1
EDA-0526,Yorkshire,Product,Coordinator,6-10 years,Self-paced,37.6,244.0,4,0,96.7,10.0,81.2,5.0,13.4,1
EDA-0527,Wales,Product,Developer,3-5 years,Instructor-led,50.2,239.0,4,4,85.0,24.0,84.6,4.7,15.8,1
EDA-0528,London,Product,Developer,3-5 years,Blended,67.9,488.0,3,1,71.2,36.0,81.2,3.8,7.1,0
EDA-0529,West Midlands,Customer Support,Administrator,3-5 years,Instructor-led,44.8,399.0,4,2,66.3,22.0,67.8,4.1,8.6,1
EDA-0530,South East,Customer Support,Analyst,3-5 years,Instructor-led,43.7,337.0,3,0,70.5,19.0,90.9,5.0,17.3,1
EDA-0531,Wales,Product,Administrator,3-5 years,Instructor-led,60.7,335.0,4,2,88.6,31.0,86.4,5.0,14.0,1
EDA-0532,South East,Operations,Administrator,6-10 years,Blended,54.3,469.0,5,0,96.0,12.0,91.2,5.0,8.4,1
EDA-0533,Wales,Sales,Developer,6-10 years,Self-paced,25.8,286.0,5,3,81.9,33.0,91.7,4.8,17.5,1
EDA-0534,Wales,HR,Coordinator,6-10 years,Blended,54.3,471.0,3,1,79.8,18.0,82.1,4.0,13.2,1
EDA-0535,North West,Sales,Manager,0-2 years,Self-paced,47.2,319.0,3,2,61.4,14.0,71.2,3.8,15.8,1
EDA-0536,Wales,HR,Analyst,6-10 years,Blended,59.7,424.0,4,4,91.7,40.0,79.5,5.0,9.3,1
EDA-0537,Wales,IT,Advisor,6-10 years,Self-paced,43.5,345.0,3,0,84.6,12.0,91.5,4.9,10.2,1
EDA-0538,London,Sales,Analyst,6-10 years,Blended,33.2,487.0,5,1,91.6,16.0,100.0,5.0,14.1,1
EDA-0539,North West,Product,Manager,6-10 years,Self-paced,72.6,377.0,3,1,82.7,10.0,100.0,4.6,13.8,1
EDA-0540,North West,Operations,Administrator,10+ years,Blended,65.4,489.0,2,2,76.7,20.0,84.4,4.6,13.3,1
EDA-0541,West Midlands,Sales,Advisor,3-5 years,Self-paced,98.0,393.0,4,1,74.4,22.0,94.8,4.7,15.1,1
EDA-0542,London,HR,Administrator,6-10 years,Self-paced,51.0,342.0,5,1,61.1,32.0,65.9,5.0,9.4,1
EDA-0543,North West,Operations,Coordinator,3-5 years,Instructor-led,63.7,272.0,3,0,60.9,11.0,69.9,4.5,12.0,1
EDA-0544,South East,Sales,Advisor,6-10 years,Blended,39.3,363.0,4,0,92.7,19.0,73.2,5.0,16.2,1
EDA-0545,Scotland,Finance,Administrator,3-5 years,Blended,37.0,326.0,4,0,80.6,6.0,76.1,5.0,5.9,0
EDA-0546,Scotland,HR,Coordinator,0-2 years,Self-paced,75.1,303.0,3,2,81.5,21.0,100.0,3.5,13.1,1
EDA-0547,West Midlands,IT,Analyst,10+ years,Self-paced,48.9,339.0,2,0,81.9,8.0,81.1,3.4,8.7,1
EDA-0548,Wales,IT,Analyst,3-5 years,Instructor-led,46.5,478.0,3,2,75.5,21.0,71.1,4.1,9.8,1
EDA-0549,Yorkshire,Customer Support,Manager,6-10 years,Blended,52.7,325.0,4,1,97.8,6.0,89.9,5.0,14.7,1
EDA-0550,Wales,Operations,Analyst,0-2 years,Blended,53.3,402.0,4,1,93.1,26.0,93.0,5.0,11.7,1
EDA-0551,Yorkshire,HR,Developer,3-5 years,Instructor-led,54.4,342.0,5,0,100.0,21.0,100.0,5.0,14.3,1
EDA-0552,Scotland,HR,Manager,10+ years,Instructor-led,87.6,501.0,3,0,77.8,4.0,82.8,5.0,13.7,1
EDA-0553,Wales,Finance,Coordinator,0-2 years,Self-paced,50.6,227.0,1,2,54.0,38.0,77.0,3.2,10.4,0
EDA-0554,Yorkshire,Finance,Advisor,10+ years,Self-paced,56.7,310.0,3,1,75.6,12.0,91.6,3.7,10.9,1
EDA-0555,Wales,Product,Administrator,6-10 years,Instructor-led,29.7,319.0,5,3,81.2,22.0,88.9,5.0,14.2,1
EDA-0556,Yorkshire,Operations,Coordinator,3-5 years,Self-paced,37.2,307.0,3,4,46.4,25.0,68.8,4.3,10.2,1
EDA-0557,London,IT,Coordinator,3-5 years,Self-paced,23.5,357.0,3,3,58.9,22.0,90.1,4.3,14.8,1
EDA-0558,West Midlands,Operations,Developer,10+ years,Self-paced,39.1,133.0,3,0,65.8,13.0,73.8,3.8,13.7,1
EDA-0559,North West,Finance,Developer,6-10 years,Blended,64.7,469.0,2,2,47.4,18.0,63.0,3.9,4.6,0
EDA-0560,Wales,Customer Support,Coordinator,3-5 years,Self-paced,42.4,325.0,4,2,70.3,16.0,82.8,4.5,11.6,1
EDA-0561,Scotland,Sales,Coordinator,3-5 years,Blended,56.3,533.0,4,1,70.3,3.0,94.7,4.7,15.8,1
EDA-0562,London,IT,Developer,0-2 years,Self-paced,35.0,384.0,2,1,69.4,26.0,74.1,4.6,7.9,1
EDA-0563,North West,Product,Manager,3-5 years,Blended,64.6,364.0,3,1,78.9,16.0,84.6,4.4,12.4,1
EDA-0564,London,IT,Analyst,6-10 years,Self-paced,43.1,260.0,3,3,73.1,21.0,70.5,3.4,10.2,1
EDA-0565,Yorkshire,HR,Manager,0-2 years,Instructor-led,69.0,313.0,1,0,74.1,15.0,66.7,4.3,11.5,1
EDA-0566,Yorkshire,Customer Support,Administrator,10+ years,Blended,62.1,302.0,3,0,98.6,23.0,81.7,5.0,12.0,1
EDA-0567,Yorkshire,Operations,Analyst,6-10 years,Blended,72.7,371.0,2,2,73.3,41.0,84.6,4.4,13.8,1
EDA-0568,West Midlands,Customer Support,Manager,3-5 years,Instructor-led,58.7,393.0,3,3,69.7,12.0,76.0,4.4,7.0,1
EDA-0569,South East,Finance,Developer,0-2 years,Self-paced,79.1,282.0,3,0,54.3,24.0,91.9,4.4,10.9,1
EDA-0570,West Midlands,Sales,Manager,6-10 years,Blended,39.8,305.0,5,1,96.5,3.0,79.8,5.0,13.6,1
EDA-0571,Scotland,Product,Coordinator,3-5 years,Self-paced,38.0,428.0,5,0,69.8,11.0,84.0,5.0,10.5,1
EDA-0572,Yorkshire,Customer Support,Analyst,10+ years,Blended,56.2,375.0,3,4,70.1,19.0,69.2,3.6,8.8,1
EDA-0573,Yorkshire,Customer Support,Coordinator,3-5 years,Blended,43.3,369.0,3,3,94.3,37.0,100.0,4.4,16.6,1
EDA-0574,Wales,Operations,Coordinator,0-2 years,Self-paced,63.8,311.0,2,3,57.7,33.0,60.7,4.2,5.8,0
EDA-0575,Yorkshire,Customer Support,Coordinator,3-5 years,Blended,57.6,369.0,5,1,89.1,18.0,85.0,5.0,15.1,1
EDA-0576,West Midlands,Finance,Administrator,10+ years,Instructor-led,69.5,399.0,4,4,72.7,20.0,83.3,4.4,11.0,1
EDA-0577,Scotland,Operations,Manager,6-10 years,Self-paced,65.0,212.0,2,0,77.4,18.0,90.0,4.7,6.7,0
EDA-0578,Wales,Sales,Coordinator,0-2 years,Blended,37.8,416.0,4,1,68.2,24.0,76.8,5.0,6.0,1
EDA-0579,West Midlands,Customer Support,Manager,6-10 years,Blended,44.7,427.0,4,2,88.3,24.0,80.3,4.7,17.1,1
EDA-0580,Yorkshire,IT,Analyst,0-2 years,Blended,61.7,509.0,4,1,75.1,13.0,87.3,5.0,10.5,1
EDA-0581,Scotland,HR,Analyst,10+ years,Blended,28.3,347.0,3,1,76.9,36.0,62.6,4.4,11.7,1
EDA-0582,South East,IT,Analyst,6-10 years,Instructor-led,20.3,245.0,4,3,86.3,14.0,91.4,4.8,12.3,1
EDA-0583,Scotland,Operations,Developer,10+ years,Instructor-led,47.2,379.0,3,1,72.0,24.0,78.3,5.0,9.5,1
EDA-0584,Scotland,Customer Support,Advisor,3-5 years,Self-paced,5.0,177.0,3,4,67.7,19.0,77.2,4.8,11.0,1
EDA-0585,London,Operations,Analyst,3-5 years,Instructor-led,57.2,452.0,4,1,56.2,7.0,65.7,4.5,5.5,0
EDA-0586,Yorkshire,Operations,Analyst,6-10 years,Self-paced,47.7,280.0,5,2,90.4,19.0,71.7,5.0,9.7,1
EDA-0587,London,Operations,Administrator,6-10 years,Instructor-led,68.9,170.0,4,4,60.7,22.0,71.1,4.8,12.5,1
EDA-0588,Wales,Sales,Advisor,6-10 years,Instructor-led,49.2,277.0,3,1,97.5,12.0,100.0,4.6,8.5,1
EDA-0589,South East,HR,Advisor,3-5 years,Instructor-led,56.3,493.0,2,1,76.3,17.0,69.9,4.9,5.8,0
EDA-0590,Wales,Finance,Analyst,10+ years,Blended,45.0,477.0,4,2,78.0,20.0,75.7,4.9,10.4,1
EDA-0591,South East,IT,Analyst,6-10 years,Blended,47.3,418.0,4,2,90.3,24.0,73.0,5.0,13.3,1
EDA-0592,West Midlands,Finance,Coordinator,6-10 years,Self-paced,65.5,209.0,5,0,81.8,18.0,90.5,5.0,8.1,1
EDA-0593,Wales,Sales,Coordinator,3-5 years,Blended,78.7,420.0,5,0,86.9,20.0,80.6,5.0,9.2,1
EDA-0594,Scotland,Operations,Analyst,3-5 years,Self-paced,34.7,342.0,2,1,65.4,24.0,74.4,4.0,0.8,0
EDA-0595,South East,Customer Support,Developer,3-5 years,Self-paced,52.0,405.0,3,3,79.4,34.0,65.2,4.0,7.6,1
EDA-0596,Wales,Sales,Developer,6-10 years,Blended,34.0,374.0,4,1,83.4,23.0,74.0,4.6,15.9,1
EDA-0597,West Midlands,Operations,Advisor,10+ years,Blended,90.7,498.0,3,0,82.4,29.0,95.2,5.0,11.2,1
EDA-0598,North West,Operations,Analyst,0-2 years,Blended,41.4,439.0,4,0,69.3,20.0,86.0,4.3,6.5,0
EDA-0599,South East,Sales,Developer,3-5 years,Self-paced,32.5,295.0,3,1,82.5,22.0,85.5,4.5,11.2,1
EDA-0600,London,Operations,Coordinator,10+ years,Instructor-led,59.2,291.0,3,1,65.3,24.0,87.9,4.9,9.7,1
EDA-0601,London,IT,Analyst,6-10 years,Self-paced,65.8,296.0,3,0,69.8,14.0,74.3,4.8,10.3,1
EDA-0602,West Midlands,Operations,Administrator,3-5 years,Self-paced,54.5,381.0,3,3,65.4,20.0,92.2,4.2,12.0,1
EDA-0603,North West,HR,Analyst,6-10 years,Blended,57.9,458.0,3,0,85.7,10.0,87.4,4.3,10.0,1
EDA-0604,Wales,Sales,Analyst,6-10 years,Blended,74.3,435.0,4,0,86.8,22.0,99.7,4.5,10.4,1
EDA-0605,Wales,Sales,Manager,6-10 years,Blended,57.0,410.0,5,1,100.0,18.0,77.6,5.0,12.4,1
EDA-0606,Scotland,Sales,Administrator,0-2 years,Self-paced,63.5,244.0,4,1,67.9,14.0,73.3,3.7,17.0,1
EDA-0607,Scotland,IT,Developer,6-10 years,Self-paced,55.9,285.0,3,0,79.6,17.0,100.0,5.0,10.2,1
EDA-0608,North West,HR,Coordinator,3-5 years,Self-paced,40.9,264.0,4,1,61.6,14.0,66.5,4.4,15.7,1
EDA-0609,North West,HR,Developer,3-5 years,Blended,89.4,546.0,4,0,94.7,9.0,100.0,5.0,12.8,1
EDA-0610,South East,HR,Administrator,10+ years,Instructor-led,61.8,421.0,3,1,80.6,9.0,70.5,5.0,11.0,1
EDA-0611,London,Operations,Administrator,3-5 years,Self-paced,68.8,338.0,5,2,87.5,8.0,100.0,5.0,10.2,1
EDA-0612,London,Product,Coordinator,6-10 years,Blended,31.7,420.0,5,2,70.6,22.0,78.8,5.0,12.9,1
EDA-0613,Scotland,HR,Developer,6-10 years,Instructor-led,89.9,307.0,3,0,76.2,22.0,83.7,4.9,13.6,1
EDA-0614,London,Operations,Administrator,0-2 years,Blended,37.7,442.0,3,3,66.3,22.0,64.6,4.6,9.6,1
EDA-0615,Scotland,Product,Manager,3-5 years,Self-paced,58.7,322.0,1,0,58.9,22.0,74.9,3.7,9.6,0
EDA-0616,South East,Operations,Administrator,0-2 years,Blended,39.6,381.0,3,2,82.7,20.0,81.1,5.0,10.5,1
EDA-0617,London,Sales,Analyst,3-5 years,Instructor-led,62.4,424.0,4,0,91.8,9.0,77.2,5.0,12.8,1
EDA-0618,Wales,Finance,Administrator,10+ years,Self-paced,45.2,298.0,3,1,60.3,12.0,84.8,4.3,7.6,1
EDA-0619,Wales,Finance,Advisor,6-10 years,Blended,40.6,342.0,4,0,88.0,16.0,81.2,5.0,10.9,1
EDA-0620,West Midlands,Customer Support,Manager,10+ years,Instructor-led,62.1,452.0,1,0,77.5,26.0,75.9,5.0,9.3,1
EDA-0621,London,Finance,Manager,3-5 years,Instructor-led,49.5,383.0,3,1,72.9,13.0,91.3,4.3,15.1,1
EDA-0622,West Midlands,Operations,Advisor,6-10 years,Blended,67.1,452.0,2,1,81.8,23.0,78.0,4.3,7.5,0
EDA-0623,Wales,Sales,Administrator,0-2 years,Self-paced,32.4,231.0,3,4,68.9,34.0,66.3,4.6,11.3,1
EDA-0624,South East,Product,Coordinator,3-5 years,Blended,73.4,323.0,2,2,66.9,15.0,60.7,4.4,8.2,1
EDA-0625,South East,Sales,Administrator,6-10 years,Self-paced,53.4,382.0,4,4,72.0,32.0,94.3,3.4,13.8,1
EDA-0626,Scotland,Sales,Analyst,0-2 years,Blended,32.2,360.0,4,0,100.0,13.0,77.5,5.0,12.7,1
EDA-0627,West Midlands,IT,Developer,3-5 years,Instructor-led,74.5,381.0,2,0,58.4,20.0,100.0,4.1,13.9,1
EDA-0628,Scotland,HR,Advisor,0-2 years,Instructor-led,81.9,359.0,1,0,56.0,6.0,98.2,4.5,12.4,1
EDA-0629,Wales,Operations,Coordinator,10+ years,Self-paced,46.9,365.0,5,1,91.9,5.0,84.6,4.7,10.1,1
EDA-0630,South East,Sales,Administrator,0-2 years,Blended,82.8,465.0,4,0,74.5,19.0,91.7,5.0,9.9,1
EDA-0631,West Midlands,Customer Support,Administrator,3-5 years,Blended,85.2,494.0,4,1,74.2,13.0,95.7,5.0,15.3,1
EDA-0632,London,Customer Support,Administrator,3-5 years,Blended,60.9,506.0,2,1,100.0,27.0,89.8,4.4,14.9,1
EDA-0633,South East,IT,Analyst,10+ years,Self-paced,58.8,347.0,5,0,90.8,15.0,65.6,4.8,11.2,1
EDA-0634,North West,Sales,Developer,0-2 years,Self-paced,34.9,385.0,4,2,72.9,32.0,82.4,4.8,13.0,1
EDA-0635,Scotland,Sales,Advisor,3-5 years,Instructor-led,61.3,326.0,4,1,89.7,17.0,93.6,4.7,13.0,1
EDA-0636,Wales,Customer Support,Developer,10+ years,Blended,19.3,464.0,1,2,62.8,26.0,37.3,3.3,3.4,1
